municipio;pop_2010;pop_2020
110001;24958;22728
110037;13113;13255
110040;17532;21847
110034;17244;14106
110002;92448;109523
110045;33134;40356
110003;6459;5188
110060;5869;6269
110004;80396;85893
110070;12959;14266
110080;20238;27388
110090;3658;2987
110005;17424;16204
110092;8493;11472
110006;19022;15544
110007;8987;7220
110008;13995;18798
110094;16222;26183
110009;29395;32695
110100;10756;7445
110010;42622;46556
110110;8765;10641
110011;53211;51620
110012;119314;130009
110013;31857;40867
110120;10592;9559
110130;12153;10818
110140;14418;16007
110014;20335;20489
110033;23069;31392
110143;7667;6895
110050;10477;8329
110015;38807;35737
110145;4922;6198
110018;34606;36881
110146;2369;2148
110020;438458;539354
110025;22836;18571
110147;3606;2776
110026;3393;3804
110028;51822;55407
110029;9092;6216
110148;6158;5066
110149;16407;20681
110032;22334;23077
110150;11899;11851
110155;5001;4233
110160;10896;10395
110170;13275;11272
110175;9602;11377
110180;8400;6656
110030;77969;102211
110000;-;-
120001;13081;15490
120005;6335;7534
120010;22325;26702
120013;8838;10420
120017;9179;12008
120020;81907;89072
120025;15754;18696
120030;33816;34884
120032;6862;8473
120033;15864;19311
120034;8327;9581
120035;14843;19299
120038;17954;19955
120080;15524;18824
120039;9573;12241
120040;350589;413418
120042;15012;19351
120043;4894;6717
120050;39676;46511
120045;21053;23236
120060;37131;43151
120070;16788;19596
120000;-;-
130002;14368;16220
130006;9655;11736
130008;10417;13956
130010;16641;21477
130014;18364;22359
130020;15454;20398
130030;32773;40290
130040;26229;27638
130050;27898;32483
130060;34074;43935
130063;15793;20093
130068;15276;19626
130070;31240;34635
130080;35655;41748
130083;11193;13283
130090;12991;15807
130100;26286;28508
130110;33384;38348
130115;24405;30846
130120;77473;85910
130130;23667;29168
130140;31274;35700
130150;16662;20393
130160;23270;17005
130165;14251;16937
130170;45105;56144
130180;22696;30436
130185;41591;49011
130190;88563;102701
130195;8198;7814
130200;8374;9230
130210;7471;2251
130220;11016;15106
130230;18349;13886
130240;38449;46882
130250;86831;98502
130255;23254;33049
130260;1837786;2219580
130270;47950;56583
130280;17876;18261
130290;53273;65040
130300;18641;21443
130310;31305;38026
130320;15015;19928
130330;21877;26046
130340;104059;115363
130350;18527;19522
130353;27714;37193
130356;26230;34106
130360;18506;25865
130370;24967;21243
130380;38648;46303
130390;32046;40073
130395;10918;14352
130400;8612;9230
130406;53310;67182
130410;19456;17015
130420;62673;59547
130423;17418;18897
130426;12127;13690
130430;17433;16130
130440;18191;23585
130000;-;-
140005;16753;15380
140002;9500;13185
140010;289576;419652
140015;11146;12557
140017;14159;18799
140020;18739;22283
140023;8264;10383
140028;8857;12296
140030;15066;18172
140040;9106;11532
140045;10626;18913
140047;24729;30782
140050;6894;8348
140060;6875;8110
140070;8530;10789
140000;-;-
150010;144486;159080
150013;6943;7486
150020;54854;55669
150030;35883;39567
150034;25658;27615
150040;53889;57092
150050;34421;34076
150060;101452;115969
150070;25353;29688
150080;483305;535547
150085;21036;28607
150090;41469;46471
150095;27183;31773
150100;16229;16404
150110;24437;31325
150120;37767;48459
150125;3513;3262
150130;102255;127027
150140;1426831;1499641
150145;16710;17839
150150;52890;63768
150157;15665;17118
150160;13957;16530
150170;115944;128914
150172;16066;14983
150175;7493;7368
150178;53753;67332
150180;95088;103497
150190;26312;29427
150200;20934;24064
150195;27119;34609
150210;123797;139364
150215;27357;38103
150220;65166;69431
150230;53138;54425
150240;177304;203251
150250;21509;23948
150260;11654;12131
150270;46650;47991
150275;28893;33781
150276;10717;13761
150277;18727;17846
150280;29234;34994
150285;12548;14587
150290;35117;40584
150293;52550;60469
150295;32549;33940
150300;8373;7070
150304;18194;20525
150307;25635;26111
150309;31166;41081
150310;29759;33755
150320;36748;39023
150330;59471;63036
150340;10278;11861
150345;52540;65625
150350;32117;32595
150360;99832;101395
150370;52449;53355
150375;14441;7590
150380;52592;59842
150390;48216;58960
150400;25621;29282
150405;28574;30235
150410;8310;8573
150420;239276;283542
150430;29057;29516
150440;27243;28450
150442;110843;133685
150445;27984;31975
150450;25403;27890
150460;27372;31530
150470;71698;83182
150475;-;16184
150480;56793;58162
150490;35025;40906
150495;20642;21444
150497;14996;16854
150500;13998;15506
150503;25727;25766
150506;63539;77214
150510;50517;52306
150520;29281;32850
150530;64301;74016
150540;16702;17961
150543;28015;33335
150548;40938;48414
150549;7654;7582
150550;100166;114503
150553;157601;213576
150555;6178;5410
150560;8042;8081
150563;13002;12979
150565;24508;31659
150570;26623;31549
150580;53424;62945
150590;34771;41801
150600;30053;29846
150610;10514;10857
150611;12709;13702
150613;77369;85563
150616;18122;18201
150618;48091;52803
150619;41049;51500
150620;38319;40922
150630;20667;24075
150635;17552;21449
150640;8351;10314
150650;60893;71837
150655;19890;19843
150658;17619;21850
150660;23578;24995
150670;57500;74419
150680;301648;306480
150690;6288;6753
150700;27314;31918
150710;17296;18129
150715;23685;25753
150720;30562;32139
150730;93532;132138
150740;15421;15930
150745;26201;24705
150746;5391;6217
150747;21142;23244
150750;13471;14051
150760;52804;59632
150770;23454;26974
150775;5168;6009
150780;13358;11480
150790;23553;25565
150795;81200;108969
150796;10508;11847
150797;17356;18917
150800;57874;64030
150803;28114;31257
150805;17280;19168
150808;34498;40136
150810;99459;115144
150812;44381;60761
150815;45864;45435
150820;49038;54172
150830;58077;61751
150835;13753;15279
150840;41547;45086
150000;-;-
160010;8367;9187
160020;9332;11306
160021;4869;6101
160023;6016;7967
160025;4423;5617
160027;41418;51362
160030;412916;512902
160040;17661;22053
160050;21267;27906
160015;11170;17067
160053;17430;22452
160055;3933;5246
160060;105003;123096
160005;4542;5488
160070;13027;17769
160080;12887;16254
160000;-;-
170025;2442;2594
170030;5272;6892
170035;5792;5346
170040;7748;6979
170070;8553;8396
170100;10076;9492
170105;3243;3454
170110;4303;4848
170130;6008;5731
170190;6452;7155
170200;8974;8467
170210;153698;183381
170215;5137;5793
170220;31998;36170
170230;6886;6616
170240;10872;10534
170255;16291;18643
170270;3520;3783
170290;9473;9787
170300;10647;10666
170305;3189;3592
170307;4211;4632
170310;5463;5651
170320;4551;4448
170330;3848;5008
170360;2108;2211
170370;5296;5519
170380;9977;11497
170382;2194;2284
170384;8313;10312
170386;3836;4441
170388;2365;2603
170389;3767;4130
170390;4699;5442
170410;2621;2936
170510;3347;3331
170460;1364;1410
170550;31497;35851
171670;8795;8141
170555;4769;4861
170560;4271;4087
170600;5116;5639
170610;7388;7278
170625;1597;1735
170650;5386;6174
170700;19520;22424
170710;6499;6943
170720;7314;7185
170730;4690;4686
170740;9678;11139
170755;3886;3830
170765;5454;5243
170770;8687;8874
170820;18821;18399
170825;2471;2602
170830;5062;5130
170900;12322;13095
170930;23695;26165
170950;78394;87545
170980;1674;2052
171050;7256;7452
171070;6158;5832
171090;3607;3795
171110;2497;2420
171150;3582;3878
171180;2279;2184
171190;10428;13676
171195;3600;4393
171200;2832;3167
171215;1639;1954
171240;3805;3733
171245;2678;3154
171250;4445;5254
171270;2270;2729
171280;3221;3448
171320;21126;17936
171330;12893;13493
171360;6859;8066
171370;2130;2295
171395;3219;3587
171420;9192;9250
171430;4480;3834
171488;10914;11917
171500;3851;4304
171510;3842;4397
171515;2335;2332
171525;2509;2745
171550;1059;1118
172100;233201;306296
171570;5060;6131
171380;5863;6745
171575;7496;7676
171610;45366;51891
171620;10559;10437
171630;4686;4867
171650;11785;13773
171660;10606;11873
171665;5162;5512
171700;4602;4430
171720;2982;3033
171750;6837;7743
171780;4641;4591
171790;7333;8116
171800;2856;3170
171820;50196;53316
171830;7823;8498
171840;3760;3676
171845;2420;2717
171850;3848;4342
171855;4281;4684
171865;1751;2171
171870;2625;2856
171875;6388;6488
171880;3947;4794
171884;3397;3373
171886;6740;7595
171888;2956;3486
171889;2173;2386
171890;4666;4846
171900;2577;2897
172000;2527;2530
172010;4706;5391
172015;1468;1598
172020;10705;12294
172025;2972;3094
172030;4374;4852
172049;4477;3904
172065;5176;5428
172080;9343;8997
172085;1779;1986
172090;15372;16825
172093;1987;2166
172097;2617;2812
172110;6880;7617
172120;23102;22845
172125;1608;1922
172130;2142;2729
172208;11216;11734
172210;11729;11520
170000;-;-
210005;106202;113121
210010;6027;6578
210015;11821;12652
210020;22304;22112
210030;24448;26757
210040;11292;8189
210043;25108;27263
210047;31700;31943
210050;10989;11212
210055;6564;7005
210060;38718;41729
210070;25815;26988
210080;14228;15894
210083;15269;17413
210087;14262;15551
210090;43385;46771
210095;32359;32764
210100;29078;29932
210110;11643;12183
210120;102085;105259
210125;15234;17252
210130;17615;18654
210135;5403;5670
210140;85258;95929
210150;18211;18924
210160;84546;88623
210170;56068;63217
210177;12299;11279
210173;6659;7528
210180;5582;5638
210190;20765;21299
210193;6120;6073
210197;8114;9414
210200;39858;41822
210203;29048;34567
210207;15125;16438
210210;34050;36651
210215;5693;9014
210220;27572;28798
210230;23373;23939
210232;66588;72983
210235;15090;15467
210237;8621;9478
210240;10812;11216
210250;18718;19451
210255;13646;14453
210260;18888;20278
210270;20872;22117
210275;10920;10935
210280;24455;24308
210290;22462;23952
210300;158342;165525
210310;10510;10693
210312;8050;8740
210315;12825;13670
210317;17987;21840
210320;74869;80195
210325;13964;14777
210330;120483;123116
210340;47718;49621
210350;39942;41312
210355;14735;16400
210360;63003;65544
210370;33328;32626
210375;12840;12916
210380;23151;23372
210390;10870;11401
210400;18834;17104
210405;36577;42527
210407;8294;8527
210408;9432;10460
210409;18125;19258
210410;11887;12647
210420;15411;15567
210430;10855;11963
210440;17844;17944
210450;10416;10886
210455;16224;18520
210460;16322;16882
