,active_cases,author_number_beds,author_number_ventilators,city_id,city_name,city_notification_place_type,confirmed_cases,dday_beds_best,dday_beds_best_months,dday_beds_worst,dday_classification,deaths,health_region_id,health_region_name,inloco_growth,inloco_last_week_7days_avg,inloco_ratio_week_avgs,inloco_today_7days_avg,last_updated_inloco,last_updated_number_beds,last_updated_number_icu_beds,last_updated_number_ventilators,last_updated_rt,last_updated_subnotification,notification_rate,number_beds,number_icu_beds,number_ventilators,overall_alert,population,rt_10days_ago_avg,rt_10days_ago_high,rt_10days_ago_low,rt_10days_ago_most_likely,rt_17days_ago_avg,rt_17days_ago_high,rt_17days_ago_low,rt_17days_ago_most_likely,rt_classification,rt_growth,rt_ratio_week_avg,state_id,state_name,state_notification_rate,state_num_id,subnotification_classification,subnotification_rank,subnotification_rate,data_last_refreshed
0,136.0,DataSUS,DataSUS,1100015,Alta Floresta D'Oeste,city,599.0,1.0,1.0,1.0,ruim,10.0,11005,Zona da Mata,estabilizando,0.4486448405045274,1.0487270883953228,0.470505997305897,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,31,0,0,alto,22945,1.072857142857143,1.32,0.81,1.09,1.06,1.3,0.76,1.04,insatisfatório,estabilizando,1.0121293800539084,RO,Rondônia,0.9728235036022485,11,bom,1.0,0.0,2020-09-08 21:15:17
1,574.0,DataSUS,DataSUS,1100023,Ariquemes,city,4781.0,91.0,3.0,64.0,bom,80.0,11001,Vale do Jamari,estabilizando,0.35814667529350125,1.0786403811595484,0.3863114663496072,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,171,31,77,medio,107863,1.0728571428571418,1.13,0.92,1.04,1.1342857142857137,1.19,0.98,1.1,insatisfatório,estabilizando,0.945843828715365,RO,Rondônia,0.9728235036022485,11,bom,2.0,0.0,2020-09-08 21:15:17
2,37.0,DataSUS,DataSUS,1100031,Cabixi,city,85.0,1.0,1.0,1.0,ruim,5.0,11006,Cone Sul,,,,,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,0.3280000000000001,4,0,0,alto,5312,0.9471428571428572,1.2,0.61,0.93,1.0199999999999998,1.27,0.67,0.98,bom,estabilizando,0.9285714285714286,RO,Rondônia,0.9728235036022485,11,insatisfatório,43.0,0.6719999999999999,2020-09-08 21:15:17
3,377.0,DataSUS,DataSUS,1100049,Cacoal,city,1838.0,91.0,3.0,80.0,bom,27.0,11002,Café,estabilizando,0.3769675008941923,1.0617560735775675,0.4002475336157659,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,277,28,57,medio,85359,1.1542857142857141,1.28,1.0,1.16,1.1828571428571426,1.28,0.99,1.15,insatisfatório,estabilizando,0.9758454106280194,RO,Rondônia,0.9728235036022485,11,bom,3.0,0.0,2020-09-08 21:15:17
4,45.0,DataSUS,DataSUS,1100056,Cerejeiras,city,214.0,91.0,3.0,84.0,bom,6.0,11006,Cone Sul,melhorando,0.36647843328704416,1.1397480960488815,0.4176930965818856,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,0.6876190476190475,25,0,0,medio,16323,1.0071428571428565,1.19,0.78,1.0,1.0171428571428562,1.21,0.8,1.01,insatisfatório,estabilizando,0.9901685393258428,RO,Rondônia,0.9728235036022485,11,bom,35.0,0.3123809523809525,2020-09-08 21:15:17
5,36.0,DataSUS,DataSUS,1100064,Colorado do Oeste,health_region,140.0,91.0,3.0,91.0,bom,0.0,11006,Cone Sul,estabilizando,0.4005110833357589,0.9736878575318052,0.3899727786509373,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,31,0,2,,15882,,,,,,,,,,,,RO,Rondônia,0.9728235036022485,11,,,0.0,2020-09-08 21:15:17
6,31.0,DataSUS,DataSUS,1100072,Corumbiara,city,34.0,91.0,3.0,50.0,bom,3.0,11006,Cone Sul,,,,,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,0.22476190476190472,16,0,0,alto,7391,0.7971428571428572,1.29,0.42,0.85,0.7257142857142859,1.18,0.31,0.73,bom,estabilizando,1.0984251968503935,RO,Rondônia,0.9728235036022485,11,ruim,44.0,0.7752380952380953,2020-09-08 21:15:17
7,68.0,DataSUS,DataSUS,1100080,Costa Marques,city,240.0,91.0,3.0,30.0,bom,4.0,11007,Vale do Guaporé,estabilizando,0.49550899489270395,1.0167597230353185,0.5038135884086146,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,34,0,0,medio,18331,1.2100000000000002,1.49,0.81,1.18,1.2614285714285711,1.59,0.84,1.24,insatisfatório,estabilizando,0.9592298980747452,RO,Rondônia,0.9728235036022485,11,bom,4.0,0.0,2020-09-08 21:15:17
8,63.0,DataSUS,DataSUS,1100098,Espigão D'Oeste,city,487.0,91.0,3.0,62.0,bom,9.0,11002,Café,estabilizando,0.4725125341046808,0.9699036987878092,0.4582916545517308,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,1.0,36,0,3,medio,32374,1.0500000000000012,1.24,0.8300000000000001,1.05,1.061428571428572,1.24,0.8200000000000001,1.05,insatisfatório,estabilizando,0.9892328398384932,RO,Rondônia,0.9728235036022485,11,bom,5.0,0.0,2020-09-08 21:15:17
9,257.0,DataSUS,DataSUS,1100106,Guajará-Mirim,city,2819.0,1.0,1.0,1.0,ruim,85.0,11004,Madeira-Mamoré,estabilizando,0.38434845714765997,1.0699323649644843,0.4112268537264466,2020-09-08 16:47:03,2020-06-01,2020-06-01,2020-06-01,2020-09-08 21:04:10,2020-09-06,0.6608727490996398,57,0,5,alto,46174,0.8699999999999999,0.97,0.73,0.87,0.8914285714285712,0.99,0.76,0.88,bom,estabilizando,0.9759615384615384,RO,Rondônia,0.9728235036022485,11,bom,36.0,0.3391272509003602,2020-09-08 21:15:17
