,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,city_id,city_name,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,health_region_id,health_region_name,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,rt_place_type,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,182.0,DataSUS,DataSUS,3,1100015,Alta Floresta D'Oeste,608.0,1.0,BR,Brasil,9.0,estabilizando,91.0,56.22139899760297,1,10.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.4358247984310308,0.4666666666666667,168,0,altíssimo,22945,0.6284321670753777,0.5935500364710756,0.6108864620266506,estabilizando,city_id,3.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
1,184.0,DataSUS,DataSUS,3,1100148,Nova Brasilândia D'Oeste,291.0,1.0,BR,Brasil,0.0,estabilizando,55.0,16.118003321285528,1,2.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,20474,0.7731810859690808,0.7324903452637044,0.7527201559409562,estabilizando,city_id,2.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
2,414.0,DataSUS,DataSUS,3,1100288,Rolim de Moura,1312.0,1.0,BR,Brasil,0.0,estabilizando,91.0,21.61357114315813,1,16.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,55058,0.7282637231989884,0.7031391347626743,0.7156550917258506,estabilizando,city_id,2.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
3,17.0,DataSUS,DataSUS,3,1100296,Santa Luzia D'Oeste,118.0,1.0,BR,Brasil,0.0,estabilizando,115.0,26.17397998460355,1,1.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,6495,0.6933203162102977,0.6768724788393029,0.6850756526713714,estabilizando,health_region_id,2.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
4,64.0,DataSUS,DataSUS,3,1100379,Alto Alegre dos Parecis,172.0,1.0,BR,Brasil,0.0,estabilizando,126.0,7.552299675251112,1,4.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,13241,0.6699634359419713,0.6148544324734414,0.6421604589669296,estabilizando,city_id,1.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
5,6.0,DataSUS,DataSUS,3,1100502,Novo Horizonte do Oeste,53.0,1.0,BR,Brasil,0.0,estabilizando,130.0,0.0,1,1.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,8538,0.6933203162102977,0.6768724788393029,0.6850756526713714,estabilizando,health_region_id,0.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
6,15.0,DataSUS,DataSUS,3,1100908,Castanheiras,56.0,1.0,BR,Brasil,0.0,estabilizando,88.0,19.659239842726077,1,0.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,3052,0.6933203162102977,0.6768724788393029,0.6850756526713714,estabilizando,health_region_id,2.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
7,6.0,DataSUS,DataSUS,3,1101450,Parecis,17.0,1.0,BR,Brasil,0.0,estabilizando,77.0,1.6463615409944024,1,1.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.4666666666666667,168,0,altíssimo,6074,0.6933203162102977,0.6768724788393029,0.6850756526713714,estabilizando,health_region_id,0.0,RO,Rondônia,11,0.5333333333333333,1.0,2020-09-09 18:33:07
8,18090.0,DataSUS,DataSUS,3,1100023,Ariquemes,4829.0,2.0,BR,Brasil,48.0,estabilizando,45.0,45.79883741412718,1,81.0,11001,Vale do Jamari,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,1.0,estabilizando,0.648971380362126,0.048701298701298704,305,31,altíssimo,107863,1.045283251296669,1.0264695913591455,1.0358584708659604,estabilizando,city_id,3.0,RO,Rondônia,11,0.9512987012987012,3.0,2020-09-09 18:33:07
9,5257.0,DataSUS,DataSUS,3,1100130,Machadinho D'Oeste,1010.0,2.0,BR,Brasil,0.0,estabilizando,126.0,43.25973344002401,1,6.0,11001,Vale do Jamari,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.048701298701298704,305,31,altíssimo,39991,1.0818829460707329,1.0423147821272865,1.0620214186630403,estabilizando,city_id,3.0,RO,Rondônia,11,0.9512987012987012,3.0,2020-09-09 18:33:07
