,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,city_id,city_name,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,health_region_id,health_region_name,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,rt_place_type,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,223.0,DataSUS,DataSUS,0,1100015,Alta Floresta D'Oeste,672.0,2.0,BR,Brasil,19.0,estabilizando,98.0,39.6600566572238,91,10.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,3.0,22945,1.9,0.67,1.3,estabilizando,city_id,3.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
1,151.0,DataSUS,DataSUS,0,1100148,Nova Brasilândia D'Oeste,303.0,2.0,BR,Brasil,3.0,estabilizando,62.0,8.303213832177395,91,2.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,2.0,20474,2.17,0.59,1.37,estabilizando,city_id,1.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
2,390.0,DataSUS,DataSUS,0,1100288,Rolim de Moura,1394.0,2.0,BR,Brasil,17.0,estabilizando,98.0,21.250317846634463,91,16.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,2.0,55058,1.55,0.6900000000000001,1.14,estabilizando,city_id,2.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
3,23.0,DataSUS,DataSUS,0,1100296,Santa Luzia D'Oeste,135.0,3.0,BR,Brasil,5.0,estabilizando,122.0,36.951501154734416,91,1.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,3.0,6495,2.84,0.6,1.63,estabilizando,city_id,3.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
4,56.0,DataSUS,DataSUS,0,1100379,Alto Alegre dos Parecis,184.0,3.0,BR,Brasil,2.0,estabilizando,133.0,12.838909447926893,91,7.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,3.0209198701004456,0.4306878306878307,168,0,3.0,13241,2.5,0.53,1.48,estabilizando,city_id,2.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
5,7.0,DataSUS,DataSUS,0,1100502,Novo Horizonte do Oeste,53.0,2.0,BR,Brasil,0.0,estabilizando,137.0,0.0,91,1.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,2.0,8538,1.43,0.78,1.13,estabilizando,health_region_id,0.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
6,16.0,DataSUS,DataSUS,0,1100908,Castanheiras,69.0,2.0,BR,Brasil,0.0,estabilizando,2.0,62.25425950196593,91,1.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,1.0,estabilizando,3.2765399737876804,0.4306878306878307,168,0,3.0,3052,1.43,0.78,1.13,estabilizando,health_region_id,3.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
7,5.0,DataSUS,DataSUS,0,1101450,Parecis,18.0,2.0,BR,Brasil,0.0,estabilizando,84.0,1.6463615409944024,91,1.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.4306878306878307,168,0,2.0,6074,1.43,0.78,1.13,estabilizando,health_region_id,0.0,RO,Rondônia,11,0.5693121693121693,1.0,2020-09-15 21:29:17
8,1759.0,DataSUS,DataSUS,0,1100023,Ariquemes,5000.0,1.0,BR,Brasil,36.0,estabilizando,52.0,22.62128811547982,91,84.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,2.0,estabilizando,0.37084078877835774,0.5293532338308458,305,31,2.0,107863,1.33,0.8300000000000001,1.09,estabilizando,city_id,2.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
9,480.0,DataSUS,DataSUS,0,1100130,Machadinho D'Oeste,1137.0,2.0,BR,Brasil,22.0,estabilizando,133.0,45.2601835412968,91,6.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,3.0,39991,1.71,0.72,1.25,estabilizando,city_id,3.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
10,36.0,DataSUS,DataSUS,0,1100262,Rio Crespo,126.0,3.0,BR,Brasil,4.0,estabilizando,120.0,45.16471838469713,91,0.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,3.0,3764,2.74,0.54,1.58,estabilizando,city_id,3.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
11,111.0,DataSUS,DataSUS,0,1100403,Alto Paraíso,345.0,2.0,BR,Brasil,9.0,estabilizando,149.0,23.33395557214859,91,7.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,2.0,21428,2.08,0.56,1.33,estabilizando,city_id,2.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
12,263.0,DataSUS,DataSUS,0,1100452,Buritis,640.0,2.0,BR,Brasil,8.0,estabilizando,34.0,23.45286730216372,91,8.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,2.0,39654,1.86,0.64,1.28,estabilizando,city_id,2.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
13,34.0,DataSUS,DataSUS,0,1100601,Cacaulândia,78.0,1.0,BR,Brasil,0.0,estabilizando,125.0,1.6051364365971108,91,0.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,1.0,6230,1.28,0.86,1.09,estabilizando,health_region_id,0.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
14,57.0,DataSUS,DataSUS,0,1100700,Campo Novo de Rondônia,147.0,3.0,BR,Brasil,-1.0,estabilizando,135.0,2.121790791427965,91,5.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.5293532338308458,305,31,3.0,14139,3.15,0.58,1.74,estabilizando,city_id,0.0,RO,Rondônia,11,0.4706467661691542,1.0,2020-09-15 21:29:17
