,state_id,health_region_id,city_id,city_name,last_updated_subnotification,population,overall_alert,deaths,confirmed_cases,dday_classification,number_beds,dday_beds_best,subnotification_classification,subnotification_rate,rt_classification,rt_10days_ago_most_likely
1672,AL,27001,2702207,Coqueiro Seco,2020-09-06,5845,alto,6.0,158.0,ruim,0,1.0,bom,0.4728571428571426,bom,0.8300000000000001
1732,AL,27001,2707701,Rio Largo,2020-09-06,75120,medio,56.0,1222.0,bom,49,91.0,insatisfatório,0.5656632653061222,bom,0.94
101,AM,13001,1301852,Iranduba,2020-09-07,48296,alto,56.0,1850.0,ruim,22,1.0,bom,0.3392745825602972,bom,0.92
1905,BA,29020,2906501,Candeias,2020-09-07,87076,baixo,46.0,2091.0,bom,71,91.0,bom,0.0975734989648036,bom,0.96
2227,BA,29009,2932507,Una,2020-09-07,19002,alto,8.0,273.0,bom,24,91.0,bom,0.3008163265306121,insatisfatório,1.12
959,CE,23004,2305100,Guaramiranga,2020-09-07,5193,,1.0,121.0,bom,6,91.0,bom,0.0,,
980,CE,23012,2306553,Itarema,2020-09-07,41826,alto,25.0,1911.0,ruim,17,1.0,bom,0.0,bom,0.85
992,CE,23010,2307601,Limoeiro do Norte,2020-09-07,59540,baixo,40.0,1465.0,bom,177,91.0,bom,0.2782857142857139,bom,0.98
2269,MG,31095,3102407,Alvorada de Minas,2020-09-05,3606,,1.0,49.0,ruim,0,1.0,bom,0.03714285714285703,,
2707,MG,31047,3140209,Maripá de Minas,2020-09-05,2973,,0.0,23.0,bom,0,91.0,,0.5716883116883116,,
2880,MG,31016,3154606,Ribeirão das Neves,2020-09-05,334858,alto,120.0,3217.0,ruim,94,1.0,bom,0.4632028894153535,insatisfatório,1.06
5252,MT,51002,5106109,Nossa Senhora do Livramento,2020-08-10,13216,,9.0,393.0,ruim,11,1.0,bom,0.17777777777777726,,
1272,PB,25016,2502151,Boa Vista,2020-09-05,7051,alto,1.0,118.0,ruim,0,1.0,bom,0.0,ruim,1.25
1341,PB,25012,2507903,Juripiranga,2020-09-05,10756,alto,10.0,520.0,ruim,12,1.0,bom,0.004571428571429226,bom,0.9
1396,PB,25015,2512507,Queimadas,2020-09-05,43967,alto,16.0,1250.0,ruim,20,1.0,bom,0.0,bom,0.94
1483,PE,26003,2601706,Belo Jardim,2020-09-07,76439,alto,32.0,1051.0,ruim,50,1.0,bom,0.3284249231950845,insatisfatório,1.01
1485,PE,26003,2601904,Bezerros,2020-09-07,60798,medio,45.0,954.0,bom,149,91.0,insatisfatório,0.5875555555555553,insatisfatório,1.03
1514,PE,26010,2604502,Chã Grande,2020-09-07,21698,,14.0,171.0,bom,22,91.0,ruim,0.7587755102040816,,
1563,PE,26004,2608602,Lagoa do Ouro,2020-09-07,13145,,4.0,51.0,bom,22,91.0,insatisfatório,0.6845238095238091,,
1635,PE,26011,2615201,Terra Nova,2020-09-07,10096,medio,1.0,69.0,bom,5,91.0,bom,0.0,insatisfatório,1.12
3523,SP,35162,3522406,Itapeva,2020-09-04,94354,medio,6.0,475.0,bom,87,91.0,bom,0.0,insatisfatório,1.13
3790,SP,35011,3546801,Santa Isabel,2020-09-04,57386,alto,67.0,1059.0,ruim,76,1.0,insatisfatório,0.6810675778113146,bom,0.94
