,active_cases,confirmed_cases,dday_beds_best,dday_beds_best_months,dday_beds_worst,dday_classification,deaths,health_region_id,health_region_name,health_region_notification_place_type,inloco_growth,inloco_last_week_7days_avg,inloco_ratio_week_avgs,inloco_today_7days_avg,last_updated_inloco,last_updated_rt,last_updated_subnotification,notification_rate,number_beds,number_icu_beds,number_ventilators,overall_alert,population,rt_10days_ago_avg,rt_10days_ago_high,rt_10days_ago_low,rt_10days_ago_most_likely,rt_17days_ago_avg,rt_17days_ago_high,rt_17days_ago_low,rt_17days_ago_most_likely,rt_classification,rt_growth,rt_ratio_week_avg,state_id,state_name,state_num_id,subnotification_classification,subnotification_rank,subnotification_rate,data_last_refreshed
0,577.0,3068.0,91.0,3.0,91.0,bom,48.0,11002,Café,health_region,estabilizando,0.4017900524578285,1.0442638017172667,0.4195748076717921,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,353,28,61,medio,172081,1.102857142857141,1.2,0.97,1.1,1.1299999999999983,1.21,0.98,1.11,insatisfatório,estabilizando,0.9759797724399492,RO,Rondônia,11,bom,1.0,0.0,2020-09-08 21:16:39
1,1271.0,6955.0,91.0,3.0,56.0,bom,140.0,11003,Central,health_region,estabilizando,0.387902628168622,1.0365289853801398,0.40207231760191137,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,472,10,51,medio,343113,1.0700000000000032,1.16,0.97,1.07,1.0714285714285745,1.15,0.96,1.06,insatisfatório,estabilizando,0.9986666666666668,RO,Rondônia,11,bom,2.0,0.0,2020-09-08 21:16:39
2,1046.0,4314.0,3.0,1.0,2.0,ruim,66.0,11006,Cone Sul,health_region,estabilizando,0.3924511997388254,1.0186751324259435,0.3997802778646684,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,0.837857142857143,252,10,33,alto,158113,1.0900000000000003,1.17,0.97,1.08,1.1342857142857146,1.21,1.01,1.11,insatisfatório,estabilizando,0.9609571788413098,RO,Rondônia,11,bom,7.0,0.16214285714285706,2020-09-08 21:16:39
3,2693.0,33081.0,91.0,3.0,91.0,bom,775.0,11004,Madeira-Mamoré,health_region,estabilizando,0.3975667006085306,1.0094748879254791,0.40133360053969896,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,1482,161,364,baixo,643452,0.7857142857142857,0.85,0.7000000000000001,0.79,0.7699999999999999,0.8300000000000001,0.6900000000000001,0.77,bom,estabilizando,1.020408163265306,RO,Rondônia,11,bom,3.0,0.0,2020-09-08 21:16:39
4,112.0,526.0,91.0,3.0,52.0,bom,6.0,11007,Vale do Guaporé,health_region,estabilizando,0.4610160005217522,1.0363852962510594,0.4777902042772147,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,72,0,2,medio,50453,1.137142857142856,1.32,0.89,1.12,1.1542857142857128,1.35,0.9,1.15,insatisfatório,estabilizando,0.9851485148514852,RO,Rondônia,11,bom,4.0,0.0,2020-09-08 21:16:39
5,1206.0,7504.0,91.0,3.0,18.0,bom,115.0,11001,Vale do Jamari,health_region,estabilizando,0.38703257652762735,1.0509812460585972,0.4067639795442751,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,305,31,89,medio,274136,1.0642857142857145,1.12,0.94,1.04,1.1128571428571428,1.16,0.98,1.08,insatisfatório,estabilizando,0.9563543003851094,RO,Rondônia,11,bom,5.0,0.0,2020-09-08 21:16:39
6,388.0,2618.0,91.0,3.0,91.0,bom,35.0,11005,Zona da Mata,health_region,estabilizando,0.4165572681162317,1.0487427476746476,0.4368614139280617,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-06,1.0,168,0,5,medio,135877,1.0271428571428562,1.13,0.89,1.01,1.0871428571428563,1.16,0.92,1.05,insatisfatório,estabilizando,0.9448094612352166,RO,Rondônia,11,bom,6.0,0.0,2020-09-08 21:16:39
7,337.0,3158.0,1.0,1.0,1.0,ruim,54.0,12001,Alto Acre,health_region,estabilizando,0.41185996673170855,0.9813399795682818,0.4041746513374881,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,42,0,3,alto,71429,1.0728571428571425,1.17,0.94,1.06,1.0699999999999996,1.18,0.94,1.07,insatisfatório,estabilizando,1.0026702269692922,AC,Acre,12,bom,1.0,0.0,2020-09-08 21:16:39
8,1021.0,14801.0,91.0,3.0,91.0,bom,461.0,12002,Baixo Acre e Purus,health_region,estabilizando,0.406098597319064,1.0101857652193242,0.4102350222872529,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,752,51,151,baixo,576027,0.8214285714285696,0.92,0.74,0.84,0.8457142857142838,0.88,0.71,0.8,bom,estabilizando,0.9712837837837841,AC,Acre,12,bom,2.0,0.0,2020-09-08 21:16:39
9,723.0,7510.0,91.0,3.0,91.0,bom,109.0,12003,Juruá e Tarauacá/Envira,health_region,estabilizando,0.4102769465785407,1.0099594102025249,0.414363062986156,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,207,7,34,baixo,234479,0.9428571428571424,1.04,0.8300000000000001,0.95,0.9499999999999992,1.02,0.81,0.94,bom,estabilizando,0.9924812030075192,AC,Acre,12,bom,3.0,0.0,2020-09-08 21:16:39
10,587.0,9318.0,91.0,3.0,91.0,bom,226.0,13009,Alto Solimões,health_region,estabilizando,0.3763396640542981,1.0704713410575128,0.4028608248733384,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,0.8692063492063491,203,0,26,baixo,251867,0.8328571428571439,0.94,0.71,0.84,0.8314285714285725,0.93,0.71,0.8200000000000001,bom,estabilizando,1.0017182130584192,AM,Amazonas,13,bom,8.0,0.1307936507936509,2020-09-08 21:16:39
11,755.0,7587.0,91.0,3.0,91.0,bom,178.0,13005,Baixo Amazonas,health_region,estabilizando,0.34287678421617723,0.9923349290843732,0.3402486093498382,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,193,0,32,baixo,250599,0.9300000000000008,1.05,0.8300000000000001,0.95,0.8828571428571438,0.99,0.77,0.9,bom,estabilizando,1.0533980582524272,AM,Amazonas,13,bom,1.0,0.0,2020-09-08 21:16:39
12,9366.0,61995.0,91.0,3.0,91.0,bom,2697.0,13001,"Manaus, Entorno e Alto Rio Negro",health_region,estabilizando,0.3988113479389808,0.9977626883189568,0.3979190826517044,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,0.9257142857142856,2583,267,1078,baixo,2576049,0.9157142857142864,0.96,0.85,0.91,0.9157142857142864,0.97,0.86,0.93,bom,estabilizando,1.0000000000000002,AM,Amazonas,13,bom,7.0,0.07428571428571429,2020-09-08 21:16:39
13,442.0,5318.0,91.0,3.0,91.0,bom,92.0,13004,Médio Amazonas,health_region,estabilizando,0.3478717066567762,1.0003933108959084,0.34800852838938257,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,138,0,9,baixo,172997,0.9128571428571444,1.04,0.79,0.93,0.8657142857142875,0.99,0.75,0.88,bom,estabilizando,1.054455445544554,AM,Amazonas,13,bom,2.0,0.0,2020-09-08 21:16:39
14,1061.0,6677.0,1.0,1.0,1.0,ruim,45.0,13007,Regional Juruá,health_region,,,,,2020-09-08 16:47:03,2020-09-08 19:33:12,2020-09-07,1.0,110,0,4,alto,137818,0.9742857142857124,1.08,0.88,0.98,1.0614285714285694,1.1,0.9,1.02,bom,estabilizando,0.917900403768506,AM,Amazonas,13,bom,3.0,0.0,2020-09-08 21:16:39
