,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,health_region_id,health_region_name,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,29447.0,DataSUS,DataSUS,3,7562.0,2.0,BR,Brasil,58.0,estabilizando,35,18.275600431902415,1,116.0,11001,Vale do Jamari,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,1.0,estabilizando,0.25534771062538303,0.049342105263157895,305,31,altíssimo,274136,1.0425342694244335,1.0274070841959024,1.0349590617439737,estabilizando,2.0,RO,Rondônia,11,0.950657894736842,3,2020-09-09 18:32:05
1,4292.0,DataSUS,DataSUS,3,3068.0,3.0,BR,Brasil,0.0,estabilizando,41,55.61334487828408,5,49.0,11002,Café,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,1.0,estabilizando,0.17433650432063968,0.14400000000000002,353,28,altíssimo,172081,1.341981505346165,1.3197334850372016,1.3308379568966051,estabilizando,3.0,RO,Rondônia,11,0.856,3,2020-09-09 18:32:05
2,3328.0,DataSUS,DataSUS,3,6978.0,1.0,BR,Brasil,23.0,estabilizando,57,0.029144917272152324,1,140.0,11003,Central,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.7577678490759604,0.3395225464190981,472,10,altíssimo,343113,0.8228232107601051,0.8083158394398341,0.8155559684289836,estabilizando,0.0,RO,Rondônia,11,0.6604774535809019,2,2020-09-09 18:32:05
3,13099.0,DataSUS,DataSUS,3,33140.0,1.0,BR,Brasil,59.0,estabilizando,106,,14,775.0,11004,Madeira-Mamoré,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.21757644703878454,0.20933521923620926,1482,161,,643452,0.8473130206386528,0.8391171456847925,0.8432108982898572,crescendo,,RO,Rondônia,11,0.7906647807637907,3,2020-09-09 18:32:05
4,919.0,DataSUS,DataSUS,3,2627.0,1.0,BR,Brasil,9.0,estabilizando,19,6.623637554553016,1,35.0,11005,Zona da Mata,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.07359597282836683,0.4516129032258064,168,0,altíssimo,135877,0.6933203162102977,0.6768724788393029,0.6850756526713714,estabilizando,1.0,RO,Rondônia,11,0.5483870967741936,1,2020-09-09 18:32:05
5,6126.0,DataSUS,DataSUS,3,4320.0,0.0,BR,Brasil,6.0,estabilizando,46,,1,66.0,11006,Cone Sul,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.2529836256348308,0.15555555555555556,252,10,,158113,0.5011126723382622,0.4933362286741854,0.4972180613426819,estabilizando,,RO,Rondônia,11,0.8444444444444444,3,2020-09-09 18:32:05
6,648.0,DataSUS,DataSUS,3,542.0,1.0,BR,Brasil,16.0,estabilizando,13,85.42604007690325,1,6.0,11007,Vale do Guaporé,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.0,0.16666666666666666,72,0,altíssimo,50453,0.986385655777883,0.9198208894614612,0.9528589726792132,estabilizando,3.0,RO,Rondônia,11,0.8333333333333334,3,2020-09-09 18:32:05
7,1869.0,DataSUS,DataSUS,3,3158.0,1.0,BR,Brasil,9.0,estabilizando,131,27.01983788097272,1,54.0,12001,Alto Acre,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.4199974800151199,0.3108108108108108,42,0,altíssimo,71429,0.7692337302632608,0.7567566461916142,0.7629844695916496,estabilizando,2.0,AC,Acre,12,0.6891891891891893,2,2020-09-09 18:32:05
8,22496.0,DataSUS,DataSUS,3,14801.0,2.0,BR,Brasil,15.0,estabilizando,31,7.829494103575006,1,461.0,12002,Baixo Acre e Purus,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.15624267612455667,0.0380952380952381,752,51,altíssimo,576027,1.0273754684961722,1.0161357347862172,1.0217491063937163,estabilizando,1.0,AC,Acre,12,0.961904761904762,3,2020-09-09 18:32:05
9,27552.0,DataSUS,DataSUS,3,7510.0,1.0,BR,Brasil,2.0,estabilizando,88,22.60330349412953,1,109.0,12003,Juruá e Tarauacá/Envira,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.2558864546505231,0.024390243902439025,207,7,altíssimo,234479,0.9032427996377178,0.8886696489192593,0.8959437718187435,estabilizando,2.0,AC,Acre,12,0.975609756097561,3,2020-09-09 18:32:05
