,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,health_region_id,health_region_name,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,2836.0,DataSUS,DataSUS,0,8032.0,1.0,BR,Brasil,87.0,estabilizando,42,27.68698748066653,91,121.0,11001,Vale do Jamari,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,3.0,estabilizando,0.25534771062538303,0.5373737373737374,305,31,3.0,274136,1.28,0.86,1.09,estabilizando,3.0,RO,Rondônia,11,0.4626262626262626,1,2020-09-15 21:28:00
1,1801.0,DataSUS,DataSUS,0,3288.0,2.0,BR,Brasil,13.0,estabilizando,2,44.804481610404395,91,54.0,11002,Café,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.4067851767481593,0.3376811594202899,353,28,3.0,172081,1.4,0.8,1.12,estabilizando,3.0,RO,Rondônia,11,0.6623188405797099,2,2020-09-15 21:28:00
2,6017.0,DataSUS,DataSUS,0,7370.0,1.0,BR,Brasil,55.0,estabilizando,64,0.029144917272152324,91,151.0,11003,Central,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-24,0.0,estabilizando,0.4663186763544372,0.18780864197530867,472,10,3.0,343113,1.29,0.85,1.09,estabilizando,0.0,RO,Rondônia,11,0.8121913580246913,3,2020-09-15 21:28:00
3,10352.0,DataSUS,DataSUS,0,34030.0,1.0,BR,Brasil,140.0,estabilizando,113,,91,802.0,11004,Madeira-Mamoré,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,4.0,estabilizando,0.6061058167508998,0.2400544959128065,1482,161,,643452,1.08,0.79,0.95,estabilizando,,RO,Rondônia,11,0.7599455040871935,3,2020-09-15 21:28:00
4,857.0,DataSUS,DataSUS,0,2828.0,2.0,BR,Brasil,46.0,estabilizando,26,4.857334206672211,91,39.0,11005,Zona da Mata,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,1.0,estabilizando,0.441575836970201,0.4376344086021505,168,0,2.0,135877,1.43,0.78,1.13,estabilizando,1.0,RO,Rondônia,11,0.5623655913978495,1,2020-09-15 21:28:00
5,3239.0,DataSUS,DataSUS,0,4610.0,2.0,BR,Brasil,29.0,estabilizando,53,,91,78.0,11006,Cone Sul,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,4.0,estabilizando,1.0751804089480308,0.2686192468619247,252,10,,158113,1.38,0.86,1.14,estabilizando,,RO,Rondônia,11,0.7313807531380754,3,2020-09-15 21:28:00
6,597.0,DataSUS,DataSUS,0,588.0,2.0,BR,Brasil,14.0,estabilizando,20,72.74096684042573,91,8.0,11007,Vale do Guaporé,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,1.0,estabilizando,0.5946128079598834,0.16589147286821707,72,0,3.0,50453,1.94,0.68,1.31,estabilizando,3.0,RO,Rondônia,11,0.834108527131783,3,2020-09-15 21:28:00
7,609.0,DataSUS,DataSUS,0,3286.0,1.0,BR,Brasil,3.0,estabilizando,138,25.61984628092232,91,54.0,12001,Alto Acre,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.0,0.9712121212121212,42,0,2.0,71429,1.34,0.74,1.07,estabilizando,2.0,AC,Acre,12,0.028787878787878807,0,2020-09-15 21:28:00
8,4370.0,DataSUS,DataSUS,0,15033.0,1.0,BR,Brasil,7.0,estabilizando,38,5.7462584219142485,91,474.0,12002,Baixo Acre e Purus,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.32984564959628626,0.19406952965235166,752,51,3.0,576027,1.15,0.77,0.98,estabilizando,1.0,AC,Acre,12,0.8059304703476483,3,2020-09-15 21:28:00
9,2122.0,DataSUS,DataSUS,0,7857.0,1.0,BR,Brasil,0.0,estabilizando,95,21.15328025110991,91,112.0,12003,Juruá e Tarauacá/Envira,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.17059096976701538,0.3236897274633124,207,7,2.0,234479,1.26,0.8200000000000001,1.05,estabilizando,2.0,AC,Acre,12,0.6763102725366876,2,2020-09-15 21:28:00
