,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,35852.0,DataSUS,DataSUS,3,58237.0,1,BR,Brasil,171.0,estabilizando,45,24.791458594156623,6,1187.0,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,2.0,estabilizando,0.3150979757768431,0.2069351230425056,3104,240,altíssimo,1777225,0.8775353167785308,0.8714913558932045,0.8745111419887629,estabilizando,2,RO,Rondônia,11,0.7930648769574944,3,2020-09-09 18:33:08
1,87354.0,DataSUS,DataSUS,3,25469.0,1,BR,Brasil,26.0,estabilizando,31,13.311638612822941,1,624.0,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,0.0,estabilizando,0.19275796969164394,0.024154589371980683,1001,58,altíssimo,881935,1.0022956377371752,0.9934440878421856,0.9978657380727992,estabilizando,2,AC,Acre,12,0.9758454106280192,3,2020-09-09 18:33:08
2,247847.0,DataSUS,DataSUS,3,123905.0,1,BR,Brasil,2986.0,estabilizando,75,12.440292747401012,1,3849.0,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,188.0,estabilizando,0.6900550282693347,0.03467868338557994,3718,267,altíssimo,4144597,0.8842227738302799,0.8793396977182338,0.8817798152322185,estabilizando,1,AM,Amazonas,13,0.9653213166144201,3,2020-09-09 18:33:08
3,51188.0,DataSUS,DataSUS,3,44406.0,1,BR,Brasil,32.0,estabilizando,43,38.23290043432971,1,598.0,2020-09-06,2020-06-01,2020-06-01,2020-08-23,2020-08-23,0.0,estabilizando,0.2641305729487372,0.10209424083769633,1205,31,altíssimo,605761,0.5214078408910108,0.5161666348334181,0.5187844562069999,estabilizando,3,RR,Roraima,14,0.8979057591623036,3,2020-09-09 18:33:08
4,34221.0,DataSUS,DataSUS,1,209808.0,2,BR,Brasil,1248.0,estabilizando,30,12.241270785953288,32,6280.0,2020-09-08,2020-06-01,2020-06-01,2020-08-25,2020-08-25,11.0,estabilizando,0.1313515904294674,0.6337115072933549,9756,694,alto,8602865,1.0786048243001678,1.0732078139162826,1.0759048969109617,estabilizando,1,PA,Pará,15,0.3662884927066451,0,2020-09-09 18:33:08
5,10991.0,DataSUS,DataSUS,3,43800.0,2,BR,Brasil,286.0,estabilizando,22,30.73081157010917,3,668.0,2020-09-02,2020-06-01,2020-06-01,2020-08-19,2020-08-19,5.0,estabilizando,0.35472271916247605,0.2632124352331606,774,41,altíssimo,845731,1.041606775758176,1.0308775803750232,1.03623634222747,estabilizando,3,AP,Amapá,16,0.7367875647668394,3,2020-09-09 18:33:08
6,23128.0,DataSUS,DataSUS,3,56223.0,2,BR,Brasil,317.0,estabilizando,39,41.72637719932912,6,758.0,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,4.0,estabilizando,0.6421398898571143,0.5341232227488152,2090,166,altíssimo,1572866,1.0182350830322522,1.0104286663813091,1.0143287185962793,estabilizando,3,TO,Tocantins,17,0.4658767772511848,1,2020-09-09 18:33:08
7,28803.0,DataSUS,DataSUS,0,159163.0,1,BR,Brasil,853.0,estabilizando,3,13.088004391689768,91,3529.0,2020-09-08,2020-06-01,2020-06-01,2020-08-25,2020-08-25,11.0,estabilizando,0.14557931450799633,0.4812382739212008,9536,559,alto,7075181,0.8780180560395369,0.8724179453629716,0.8752161183301582,estabilizando,2,MA,Maranhão,21,0.5187617260787992,1,2020-09-09 18:33:08
8,30867.0,DataSUS,DataSUS,3,82564.0,1,BR,Brasil,282.0,estabilizando,65,20.5332535751416,7,1915.0,2020-09-07,2020-06-01,2020-06-01,2020-08-24,2020-08-24,14.0,estabilizando,0.31467417322416075,0.3826802128688921,5033,245,altíssimo,3273227,0.8916691930592506,0.8865884052021027,0.8891272739353628,estabilizando,2,PI,Piauí,22,0.6173197871311079,2,2020-09-09 18:33:08
9,24267.0,DataSUS,DataSUS,0,220858.0,1,BR,Brasil,372.0,estabilizando,11,8.564315810705953,91,8588.0,2020-09-08,2020-06-01,2020-06-01,2020-08-25,2020-08-25,21.0,estabilizando,0.20148754752204265,0.6602272727272728,12436,760,moderado,9132078,0.7759109094004685,0.7722476473465751,0.7740783676674358,estabilizando,1,CE,Ceará,23,0.3397727272727272,0,2020-09-09 18:33:08
10,28316.0,DataSUS,DataSUS,2,63628.0,2,BR,Brasil,404.0,estabilizando,126,11.380573979006247,15,2283.0,2020-09-04,2020-06-01,2020-06-01,2020-08-21,2020-08-21,4.0,estabilizando,0.2680465933416656,0.1497764530551416,5014,418,altíssimo,3506853,1.2027798434849255,1.1954043702912498,1.1990897237159863,estabilizando,1,RN,Rio Grande do Norte,24,0.8502235469448585,3,2020-09-09 18:33:08
