,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,20161.0,DataSUS,DataSUS,3,58066.0,2,BR,Brasil,201.0,estabilizando,44,27.227841156859714,12,1185.0,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,5.0,estabilizando,0.45013996539549017,0.3811362382790954,3104,240,altíssimo,1777225,1.14,0.91,1.03,estabilizando,2,RO,Rondônia,11,0.6188637617209046,2,2020-09-09 00:12:28
1,4067.0,DataSUS,DataSUS,2,25469.0,2,BR,Brasil,26.0,estabilizando,31,13.311638612822941,16,624.0,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,0.0,estabilizando,0.19275796969164394,0.5195121951219512,1001,58,alto,881935,1.17,0.86,1.03,estabilizando,2,AC,Acre,12,0.4804878048780488,1,2020-09-09 00:12:28
2,67194.0,DataSUS,DataSUS,3,123905.0,2,BR,Brasil,2986.0,estabilizando,75,12.440292747401012,3,3849.0,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,188.0,estabilizando,0.6900550282693347,0.13903011341415722,3718,267,altíssimo,4144597,1.1,0.88,1.0,estabilizando,1,AM,Amazonas,13,0.8609698865858428,3,2020-09-09 00:12:28
3,7523.0,DataSUS,DataSUS,3,44406.0,1,BR,Brasil,32.0,estabilizando,43,38.23290043432971,3,598.0,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.2641305729487372,0.8093994778067886,1205,31,altíssimo,605761,1.09,0.8300000000000001,0.98,estabilizando,3,RR,Roraima,14,0.19060052219321144,0,2020-09-09 00:12:28
4,39123.0,DataSUS,DataSUS,2,207638.0,2,BR,Brasil,774.0,estabilizando,27,14.06043219322865,26,6249.0,2020-09-05,2020-06-01,2020-06-01,2020-08-28,2020-08-17,9.0,crescendo,0.22201905992945373,0.5575422626788037,9756,694,alto,8602865,1.08,0.9,1.0,estabilizando,2,PA,Pará,15,0.4424577373211963,1,2020-09-09 00:12:28
5,11698.0,DataSUS,DataSUS,3,43800.0,2,BR,Brasil,286.0,estabilizando,22,30.73081157010917,2,668.0,2020-09-02,2020-06-01,2020-06-01,2020-08-28,2020-08-14,5.0,estabilizando,0.35472271916247605,0.2373056994818653,774,41,altíssimo,845731,1.18,0.9,1.05,estabilizando,3,AP,Amapá,16,0.7626943005181347,3,2020-09-09 00:12:28
6,25176.0,DataSUS,DataSUS,3,55906.0,2,BR,Brasil,831.0,estabilizando,38,50.25221474683794,6,754.0,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,9.0,estabilizando,0.8201588692234429,0.4575799721835883,2090,166,altíssimo,1572866,1.13,0.92,1.03,estabilizando,3,TO,Tocantins,17,0.5424200278164117,1,2020-09-09 00:12:28
7,23606.0,DataSUS,DataSUS,0,158310.0,2,BR,Brasil,466.0,estabilizando,2,13.517675378198804,91,3518.0,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,19.0,estabilizando,0.14557931450799633,0.6401847575057736,9536,559,alto,7075181,1.15,0.95,1.06,estabilizando,2,MA,Maranhão,21,0.3598152424942264,0,2020-09-09 00:12:28
8,29186.0,DataSUS,DataSUS,3,82006.0,2,BR,Brasil,380.0,estabilizando,63,20.69211820628389,7,1893.0,2020-09-05,2020-06-01,2020-06-01,2020-08-28,2020-08-17,9.0,estabilizando,0.3391148857075907,0.4379807692307692,5033,245,altíssimo,3273227,1.13,0.92,1.04,estabilizando,2,PI,Piauí,22,0.5620192307692309,1,2020-09-09 00:12:28
9,39320.0,DataSUS,DataSUS,2,220486.0,2,BR,Brasil,54.0,estabilizando,10,12.427620526237293,26,8567.0,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,1.0,estabilizando,0.2858057059959409,0.4751724137931034,12436,760,alto,9132078,1.18,0.99,1.1,estabilizando,1,CE,Ceará,23,0.5248275862068966,1,2020-09-09 00:12:28
