,Rt_high_95,Rt_low_95,Rt_most_likely,Rt_most_likely_growth,Rt_most_likely_mavg,Rt_most_likely_mavg_100k,last_updated,state_num_id,data_last_refreshed
0,7.84,0.67,3.0,estabilizando,,,2020-03-26,11,2020-09-16 18:31:26
1,7.13,0.66,2.9,estabilizando,,,2020-03-27,11,2020-09-16 18:31:26
2,6.66,0.67,2.82,estabilizando,,,2020-03-28,11,2020-09-16 18:31:26
3,6.3100000000000005,0.68,2.75,estabilizando,,,2020-03-29,11,2020-09-16 18:31:26
4,6.03,0.68,2.69,estabilizando,,,2020-03-30,11,2020-09-16 18:31:26
5,5.8,0.68,2.63,estabilizando,,,2020-03-31,11,2020-09-16 18:31:26
6,5.59,0.66,2.58,estabilizando,2.8,2.8,2020-04-01,11,2020-09-16 18:31:26
7,5.43,0.67,2.53,estabilizando,2.7,2.7,2020-04-02,11,2020-09-16 18:31:26
8,5.32,0.71,2.49,estabilizando,2.6,2.6,2020-04-03,11,2020-09-16 18:31:26
9,5.13,0.64,2.45,estabilizando,2.6,2.6,2020-04-04,11,2020-09-16 18:31:26
10,5.03,0.66,2.42,estabilizando,2.5,2.5,2020-04-05,11,2020-09-16 18:31:26
11,4.96,0.7000000000000001,2.38,estabilizando,2.5,2.5,2020-04-06,11,2020-09-16 18:31:26
12,5.04,0.7000000000000001,2.52,estabilizando,2.5,2.5,2020-04-07,11,2020-09-16 18:31:26
13,4.8500000000000005,0.7000000000000001,2.45,estabilizando,2.5,2.5,2020-04-08,11,2020-09-16 18:31:26
14,4.9,0.78,2.5500000000000003,estabilizando,2.5,2.5,2020-04-09,11,2020-09-16 18:31:26
15,4.68,0.78,2.45,estabilizando,2.5,2.5,2020-04-10,11,2020-09-16 18:31:26
16,4.48,0.76,2.37,estabilizando,2.4,2.4,2020-04-11,11,2020-09-16 18:31:26
17,4.45,0.79,2.43,estabilizando,2.4,2.4,2020-04-12,11,2020-09-16 18:31:26
18,4.4,0.85,2.45,estabilizando,2.5,2.5,2020-04-13,11,2020-09-16 18:31:26
19,4.28,0.86,2.45,estabilizando,2.4,2.4,2020-04-14,11,2020-09-16 18:31:26
20,4.2700000000000005,0.95,2.54,estabilizando,2.5,2.5,2020-04-15,11,2020-09-16 18:31:26
21,4.09,0.96,2.47,estabilizando,2.5,2.5,2020-04-16,11,2020-09-16 18:31:26
22,4.1,1.09,2.57,estabilizando,2.5,2.5,2020-04-17,11,2020-09-16 18:31:26
23,3.97,1.15,2.53,estabilizando,2.5,2.5,2020-04-18,11,2020-09-16 18:31:26
24,3.84,1.18,2.53,estabilizando,2.5,2.5,2020-04-19,11,2020-09-16 18:31:26
