,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,health_region_id,health_region_name,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,6045.0,DataSUS,DataSUS,3.0,7504.0,2.0,BR,Brasil,15.0,estabilizando,34,18.275600431902415,9.0,115.0,11001,Vale do Jamari,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.3647824437505472,0.2626865671641791,305,31,3.0,274136,1.29,0.86,1.1,estabilizando,2.0,RO,Rondônia,11,0.7373134328358208,2.0,2020-09-09 21:19:58
1,655.0,DataSUS,DataSUS,0.0,3068.0,2.0,BR,Brasil,3.0,estabilizando,40,66.01542296941557,91.0,48.0,11002,Café,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.4067851767481593,0.8965517241379308,353,28,3.0,172081,1.5,0.89,1.22,estabilizando,3.0,RO,Rondônia,11,0.10344827586206916,0.0,2020-09-09 21:19:58
2,11093.0,DataSUS,DataSUS,3.0,6955.0,2.0,BR,Brasil,29.0,estabilizando,56,0.029144917272152324,1.0,140.0,11003,Central,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-16,4.0,estabilizando,0.903492435436722,0.09375,472,10,3.0,343113,1.35,0.91,1.15,estabilizando,0.0,RO,Rondônia,11,0.90625,3.0,2020-09-09 21:19:58
3,8628.0,DataSUS,DataSUS,0.0,33081.0,1.0,BR,Brasil,138.0,estabilizando,105,,91.0,775.0,11004,Madeira-Mamoré,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,1.0,estabilizando,0.3263646705581769,0.3430555555555556,1482,161,,643452,1.12,0.84,0.98,estabilizando,,RO,Rondônia,11,0.6569444444444443,2.0,2020-09-09 21:19:58
4,806.0,DataSUS,DataSUS,3.0,2618.0,1.0,BR,Brasil,11.0,estabilizando,18,7.2860013100083165,1.0,35.0,11005,Zona da Mata,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.07359597282836683,0.6081081081081081,168,0,3.0,135877,1.4,0.74,1.09,estabilizando,1.0,RO,Rondônia,11,0.3918918918918919,0.0,2020-09-09 21:19:58
5,1261.0,DataSUS,DataSUS,3.0,4314.0,2.0,BR,Brasil,5.0,estabilizando,45,,14.0,66.0,11006,Cone Sul,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.4427213448609539,0.7359550561797753,252,10,,158113,1.46,0.93,1.21,estabilizando,,RO,Rondônia,11,0.2640449438202247,0.0,2020-09-09 21:19:58
6,357.0,DataSUS,DataSUS,3.0,526.0,2.0,BR,Brasil,0.0,estabilizando,12,92.95780231106177,1.0,6.0,11007,Vale do Guaporé,2020-09-06,2020-06-01,2020-06-01,2020-08-28,2020-08-18,0.0,estabilizando,0.1982042693199612,0.2857142857142857,72,0,3.0,50453,1.92,0.62,1.3,estabilizando,3.0,RO,Rondônia,11,0.7142857142857143,2.0,2020-09-09 21:19:58
7,857.0,DataSUS,DataSUS,3.0,3158.0,2.0,BR,Brasil,9.0,estabilizando,131,27.01983788097272,1.0,54.0,12001,Alto Acre,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,0.0,estabilizando,0.4199974800151199,0.6533333333333333,42,0,3.0,71429,1.4,0.8,1.12,estabilizando,2.0,AC,Acre,12,0.3466666666666667,0.0,2020-09-09 21:19:58
8,4468.0,DataSUS,DataSUS,0.0,14801.0,1.0,BR,Brasil,15.0,estabilizando,31,7.829494103575006,91.0,461.0,12002,Baixo Acre e Purus,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,0.0,estabilizando,0.15624267612455667,0.18981481481481485,752,51,3.0,576027,1.19,0.8200000000000001,1.01,estabilizando,1.0,AC,Acre,12,0.8101851851851851,3.0,2020-09-09 21:19:58
9,705.0,DataSUS,DataSUS,1.0,7510.0,1.0,BR,Brasil,2.0,estabilizando,88,22.60330349412953,21.0,109.0,12003,Juruá e Tarauacá/Envira,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,0.0,estabilizando,0.2558864546505231,1.0,207,7,2.0,234479,1.29,0.85,1.08,estabilizando,2.0,AC,Acre,12,0.0,0.0,2020-09-09 21:19:58
10,44307.0,DataSUS,DataSUS,3.0,61995.0,1.0,BR,Brasil,1526.0,crescendo,6,0.023291482421335927,11.0,2697.0,13001,"Manaus, Entorno e Alto Rio Negro",2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,164.0,estabilizando,0.9355412105903266,0.10641547861507128,2583,267,3.0,2576049,1.14,0.88,1.02,estabilizando,1.0,AM,Amazonas,13,0.8935845213849287,3.0,2020-09-09 21:19:58
11,2151.0,DataSUS,DataSUS,3.0,13885.0,1.0,BR,Brasil,144.0,estabilizando,23,0.3691907004218843,1.0,295.0,13002,Rio Negro e Solimões,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,2.0,estabilizando,0.20137674568466413,0.2436548223350254,154,0,3.0,297949,1.17,0.78,0.99,estabilizando,0.0,AM,Amazonas,13,0.7563451776649746,3.0,2020-09-09 21:19:58
12,4712.0,DataSUS,DataSUS,3.0,5941.0,1.0,BR,Brasil,120.0,crescendo,1,,1.0,139.0,13003,Rio Madeira,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,2.0,estabilizando,0.15029382442675432,0.14516129032258066,100,0,,199609,1.26,0.79,1.04,estabilizando,,AM,Amazonas,13,0.8548387096774194,3.0,2020-09-09 21:19:58
13,804.0,DataSUS,DataSUS,3.0,5318.0,1.0,BR,Brasil,167.0,estabilizando,65,0.2312178823910241,1.0,92.0,13004,Médio Amazonas,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,1.0,estabilizando,0.057804470597756036,0.3855421686746988,138,0,3.0,172997,1.3,0.78,1.07,estabilizando,0.0,AM,Amazonas,13,0.6144578313253012,2.0,2020-09-09 21:19:58
14,2369.0,DataSUS,DataSUS,3.0,7587.0,1.0,BR,Brasil,270.0,estabilizando,25,14.644910793738205,1.0,178.0,13005,Baixo Amazonas,2020-09-07,2020-06-01,2020-06-01,2020-08-28,2020-08-19,9.0,estabilizando,0.6783746144238404,0.19923371647509566,193,0,3.0,250599,1.26,0.8,1.06,estabilizando,2.0,AM,Amazonas,13,0.8007662835249043,3.0,2020-09-09 21:19:58
