city_id,city_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
110001,Alta Floresta D'Oeste,22945,3313,3476,3859,3610,3128,2844,1633,778,304
110037,Alto Alegre dos Parecis,13241,2184,2192,2302,1905,1910,1415,801,406,126
110040,Alto Paraíso,21428,3598,3547,3658,3236,3117,2225,1252,602,193
110034,Alvorada D'Oeste,14411,2097,2158,2330,2191,2063,1736,1131,499,206
110002,Ariquemes,107863,16319,18423,19707,18264,14486,10853,6126,2679,1006
110045,Buritis,39654,6875,6909,6906,6347,5165,3537,2382,1183,350
110003,Cabixi,5312,800,697,785,802,804,711,448,190,75
110060,Cacaulândia,6230,1031,998,1006,932,835,658,452,235,83
110004,Cacoal,85359,11818,13058,14742,14377,12055,9610,5876,2670,1153
110070,Campo Novo de Rondônia,14139,2537,2367,2379,2230,2014,1394,802,320,96
110080,Candeias do Jamari,26693,4989,4609,4684,4298,3468,2414,1402,627,202
110090,Castanheiras,3052,397,408,506,443,476,412,238,131,41
110005,Cerejeiras,16323,2231,2353,2754,2638,2265,2088,1161,598,235
110092,Chupinguaia,11182,2039,1969,2114,1823,1532,994,456,201,54
110006,Colorado do Oeste,15882,2155,2162,2486,2573,2273,1975,1312,662,284
110007,Corumbiara,7391,1021,1028,1310,1207,1151,845,481,250,98
110008,Costa Marques,18331,3676,3357,3432,2864,2269,1487,805,329,112
110094,Cujubim,25215,4898,4784,4587,4139,3231,2093,1030,363,90
110009,Espigão D'Oeste,32374,5044,5171,5452,5313,4562,3411,2107,954,360
110100,Governador Jorge Teixeira,7767,1151,1161,1257,1199,1126,909,564,292,108
110010,Guajará-Mirim,46174,8541,8508,8017,6963,5792,4282,2388,1167,516
110110,Itapuã do Oeste,10458,1978,1700,1888,1515,1377,1005,631,280,84
110011,Jaru,51775,7681,8280,8803,8939,7095,5267,3334,1643,733
110012,Ji-Paraná,128969,18756,20629,22026,21936,17779,14132,8547,3646,1518
110013,Machadinho D'Oeste,39991,7154,6845,6861,6379,5350,3800,2320,979,303
110120,Ministro Andreazza,9660,1567,1547,1635,1460,1344,1015,639,323,130
110130,Mirante da Serra,10947,1614,1723,1850,1656,1500,1131,839,425,209
110140,Monte Negro,15852,2613,2618,2686,2374,2162,1620,1057,532,190
110014,Nova Brasilândia D'Oeste,20474,2881,3064,3576,3223,3105,2296,1423,668,238
110033,Nova Mamoré,30583,5799,5509,5151,4813,4146,2751,1525,656,233
110143,Nova União,6970,1051,1094,1225,1012,1037,785,472,216,78
110050,Novo Horizonte do Oeste,8538,1207,1165,1328,1248,1314,1123,682,343,128
110015,Ouro Preto do Oeste,36035,5070,5486,5960,5994,4933,4225,2534,1286,547
110145,Parecis,6074,1035,1003,1044,1024,769,662,335,153,49
110018,Pimenta Bueno,36660,5360,6060,6465,6297,4964,3883,2258,995,378
110146,Pimenteiras do Oeste,2169,404,340,344,323,313,236,136,57,16
110020,Porto Velho,529544,79572,89391,98259,98032,71688,51188,27690,10103,3621
110025,Presidente Médici,18986,2526,2667,2940,2976,2753,2427,1577,772,348
110147,Primavera de Rondônia,2856,387,402,463,418,415,376,228,118,49
110026,Rio Crespo,3764,602,573,579,567,553,466,254,120,50
110028,Rolim de Moura,55058,7803,8681,9706,9531,7696,5926,3474,1580,661
110029,Santa Luzia D'Oeste,6495,871,878,1020,1024,958,885,507,245,107
110148,São Felipe D'Oeste,5172,681,674,792,801,773,652,457,248,94
110149,São Francisco do Guaporé,20266,3532,3437,3623,3040,2717,1904,1176,639,198
110032,São Miguel do Guaporé,23005,3695,3730,4178,3700,3144,2340,1374,636,208
110150,Seringueiras,11856,1791,1925,2094,1794,1689,1272,778,366,147
110155,Teixeirópolis,4308,579,607,683,654,607,570,308,206,94
110160,Theobroma,10444,1636,1549,1641,1586,1549,1139,773,416,155
110170,Urupá,11467,1645,1685,1821,1867,1607,1316,939,435,152
110175,Vale do Anari,11204,1833,1702,1822,1713,1591,1236,789,388,130
110180,Vale do Paraíso,6825,962,981,1120,1013,1031,862,514,248,94
110030,Vilhena,99854,15318,16552,17810,17405,13639,10126,5681,2444,879
120001,Acrelândia,15256,2850,2841,2858,2228,1878,1303,758,398,142
120005,Assis Brasil,7417,1669,1559,1271,1041,826,516,311,154,70
120010,Brasiléia,26278,4624,5121,4779,4035,3260,2157,1279,704,319
120013,Bujari,10266,1925,1951,1838,1452,1253,848,621,286,92
120017,Capixaba,11733,2292,2305,2227,1455,1358,1043,619,326,108
120020,Cruzeiro do Sul,88376,17836,19209,16047,13520,9591,5610,3531,2053,979
120025,Epitaciolândia,18411,3246,3653,3362,2728,2206,1570,915,502,229
120030,Feijó,34780,8475,8253,6127,4436,3206,2137,1172,696,278
120032,Jordão,8317,2607,2152,1497,996,605,255,124,52,29
120033,Mâncio Lima,18977,4329,4013,3366,2788,1907,1161,775,447,191
120034,Manoel Urbano,9459,2199,2055,1689,1376,982,563,338,167,90
120035,Marechal Thaumaturgo,18867,5453,4908,3450,2249,1381,752,389,203,82
120038,Plácido de Castro,19761,3786,3853,3298,2677,2330,1860,1138,570,249
120080,Porto Acre,18504,3451,3590,3316,2484,2157,1577,1030,635,264
120039,Porto Walter,11982,3744,2974,2017,1429,931,479,242,113,53
120040,Rio Branco,407319,65013,81009,75164,67744,51254,33543,20097,9350,4145
120042,Rodrigues Alves,18930,4779,4472,3394,2525,1855,994,524,287,100
120043,Santa Rosa do Purus,6540,1943,1596,1213,851,464,308,109,45,11
120050,Sena Madureira,45848,8946,9751,8575,7345,4970,2990,1807,998,466
120045,Senador Guiomard,23024,4187,4500,3941,3381,2822,1912,1313,676,292
120060,Tarauacá,42567,10944,10233,7449,5363,3619,2387,1367,817,388
120070,Xapuri,19323,3570,3817,3573,2847,2220,1549,958,542,247
130002,Alvarães,16041,4586,3591,2831,1985,1386,863,455,245,99
130006,Amaturá,11536,2893,2353,2280,1657,1143,653,327,166,64
130008,Anamã,13614,3016,2690,2686,2078,1500,857,427,246,114
130010,Anori,21010,4896,4214,4131,3217,2190,1208,628,356,170
130014,Apuí,21973,3646,3664,4586,3947,2681,1858,1057,425,109
130020,Atalaia do Norte,19921,4955,4314,4102,2972,1696,994,510,267,111
130030,Autazes,39565,9495,7701,6947,5169,4055,3056,1744,952,446
130040,Barcelos,27502,5117,5399,6061,4162,2666,2099,1284,557,157
130050,Barreirinha,32041,8824,6706,5733,3844,2793,1951,1183,647,360
130060,Benjamin Constant,42984,11463,9682,7617,5635,3649,2492,1353,731,362
130063,Beruri,19679,5462,4278,3301,2443,1713,1248,708,357,169
130068,Boa Vista do Ramos,19207,4701,4062,3739,2506,1808,1208,696,322,165
130070,Boca do Acre,34308,7307,6556,6165,5089,3896,2513,1539,863,380
130080,Borba,41161,10026,8145,7781,5909,3987,2467,1528,840,478
130083,Caapiranga,13081,3068,2630,2456,1899,1373,791,514,254,96
130090,Canutama,15629,2940,2643,2874,2510,2006,1333,791,398,134
130100,Carauari,28294,6841,5843,5343,3873,2677,1830,1068,573,246
130110,Careiro,37869,7943,7040,7004,5612,4544,2835,1719,837,335
130115,Careiro da Várzea,30225,5803,5271,5286,4487,4008,2800,1471,790,309
130120,Coari,85097,18530,17978,17044,13083,8302,4865,3064,1543,688
130130,Codajás,28637,6100,5712,5720,4680,2934,1803,989,488,211
130140,Eirunepé,35273,8913,7345,6402,4930,3248,2164,1317,677,277
130150,Envira,20033,5064,4295,3800,2842,1821,1095,599,332,185
130160,Fonte Boa,17609,4505,3759,3132,2339,1583,1020,695,396,180
130165,Guajará,16678,4086,3538,3149,2391,1567,1088,498,256,105
130170,Humaitá,55080,10740,10503,10837,8717,6211,4112,2354,1150,456
130180,Ipixuna,29689,8496,6214,4900,4426,2511,1671,851,452,168
130185,Iranduba,48296,10487,9530,8185,6655,5631,3812,2329,1172,495
130190,Itacoatiara,101337,21696,19165,18034,14699,11562,7680,4853,2497,1151
130195,Itamarati,7851,2026,1598,1512,1155,725,438,237,126,34
130200,Itapiranga,9148,1939,1739,1670,1297,1021,700,435,245,102
130210,Japurá,2755,718,639,500,381,266,138,59,35,19
130220,Juruá,14712,3772,3314,2822,2029,1320,748,410,209,88
130230,Jutaí,14317,4254,3002,2444,1768,1148,800,495,290,116
130240,Lábrea,46069,10491,9229,8472,6945,4599,3137,1875,921,400
130250,Manacapuru,97377,21045,19275,18081,14298,10389,6804,4150,2264,1071
130255,Manaquiri,32105,7435,6522,5867,4731,3216,2348,1170,593,223
130260,Manaus,2182763,355478,392993,401241,374222,293231,189920,109310,46984,19384
130270,Manicoré,55751,12321,10764,10919,8352,5770,3806,2179,1146,494
130280,Maraã,18224,4745,4236,3639,2521,1427,892,444,236,84
130290,Maués,63905,16484,13118,11356,8518,5839,4058,2674,1153,705
130300,Nhamundá,21173,4578,3804,3866,3098,2375,1670,950,555,277
130310,Nova Olinda do Norte,37378,8195,7429,7276,5655,3824,2575,1422,613,389
130320,Novo Airão,19454,4335,3684,3489,2854,2136,1496,875,399,186
130330,Novo Aripuanã,25644,5159,4696,4994,4127,2875,1889,1087,560,257
130340,Parintins,114273,25021,22459,21092,16180,11865,8211,5308,2742,1395
130350,Pauini,19426,4942,4398,3603,2820,1644,1029,580,301,109
130353,Presidente Figueiredo,36279,7420,7054,7007,5011,4035,3030,1856,679,187
130356,Rio Preto da Eva,33347,6190,6394,6286,5139,4103,2661,1590,741,243
130360,Santa Isabel do Rio Negro,25156,7668,5930,4151,2942,1957,1223,674,421,190
130370,Santo Antônio do Içá,21602,5797,4426,4239,3079,1773,1100,680,338,170
130380,São Gabriel da Cachoeira,45564,10780,9744,8206,5784,4416,3155,1885,1118,476
130390,São Paulo de Olivença,39299,9825,8066,7345,5381,3531,2619,1320,851,361
130395,São Sebastião do Uatumã,14020,3308,2914,2622,2014,1480,927,482,205,68
130400,Silves,9171,2247,1728,1600,1140,985,705,459,212,95
130406,Tabatinga,65844,15838,14263,11889,9243,6456,4226,2320,1130,479
130410,Tapauá,17156,3787,3267,3217,2550,1647,1238,866,411,173
130420,Tefé,59849,14221,12624,10725,8619,5908,3685,2273,1242,552
130423,Tonantins,18755,5046,4060,3735,2601,1491,907,512,281,122
130426,Uarini,13540,3657,2901,2492,1813,1228,703,428,232,86
130430,Urucará,16256,3799,3104,2791,2016,1749,1312,814,465,206
130440,Urucurituba,23065,5414,4423,4406,3414,2227,1526,940,458,257
140005,Alto Alegre,15510,4125,3057,2508,1904,1441,1207,782,360,126
140002,Amajari,12796,3704,2611,2202,1629,1191,775,454,173,57
140010,Boa Vista,399213,65805,68724,80251,74980,50956,31523,17340,7071,2563
140015,Bonfim,12409,3111,2403,2276,1492,1226,864,670,272,95
140017,Cantá,18335,4022,3092,3187,2496,2178,1720,1048,463,129
140020,Caracaraí,21926,4360,3865,4334,3476,2637,1754,976,405,119
140023,Caroebe,10169,2010,1644,1892,1786,1265,841,444,222,65
140028,Iracema,11950,2397,1994,2250,2034,1512,977,515,210,61
140030,Mucajaí,17853,3394,2953,3385,2970,2205,1497,892,426,131
140040,Normandia,11290,3349,2499,2177,1278,826,545,349,187,80
140045,Pacaraima,17401,4552,3326,3357,2298,1806,1104,627,247,84
140047,Rorainópolis,30163,5298,5134,6399,5715,3326,2270,1297,573,151
140050,São João da Baliza,8201,1578,1439,1597,1517,969,584,316,161,40
140060,São Luiz,7986,1163,1127,1718,1699,994,647,403,174,61
140070,Uiramutã,10559,3546,2445,1835,1200,671,441,243,121,57
150010,Abaetetuba,157698,25452,28677,30677,26938,19172,12616,8080,4218,1868
150013,Abel Figueiredo,7434,1242,1381,1323,1149,898,708,407,232,94
150020,Acará,55591,11185,11367,10405,8013,6097,4267,2380,1338,539
150030,Afuá,39218,9187,8759,7530,5289,3659,2313,1450,707,324
150034,Água Azul do Norte,27430,3870,5029,5622,5464,3942,2065,929,398,111
150040,Alenquer,56789,11944,10896,9954,7949,6404,4235,2972,1640,795
150050,Almeirim,34109,6795,6802,6366,4819,3813,2730,1713,762,309
150060,Altamira,114594,18777,21991,21033,18539,14136,9909,6167,2854,1188
150070,Anajás,29277,7487,6816,5379,3848,2547,1522,984,485,209
150080,Ananindeua,530598,70566,91009,94528,92356,76445,53085,33130,14283,5196
150085,Anapu,27890,5751,5573,5207,4427,3207,1946,1129,497,153
150090,Augusto Corrêa,45998,10020,9420,8562,6553,4638,3204,2063,1085,453
150095,Aurora do Pará,31338,5749,5866,6187,5178,3669,2317,1373,728,271
150100,Aveiro,16388,3579,3259,3026,2084,1617,1252,889,473,209
150110,Bagre,30673,7746,6840,6159,4258,2717,1497,897,410,149
150120,Baião,47446,8795,9430,9299,7855,5473,3251,2004,961,378
150125,Bannach,3286,544,557,501,479,439,337,257,130,42
150130,Barcarena,124680,21903,23896,24690,21294,14729,9597,5367,2284,920
150140,Belém,1492745,179000,238345,241658,255060,222212,165562,110052,55758,25098
150145,Belterra,17732,3315,3254,3031,2405,2140,1592,1090,610,295
150150,Benevides,62737,9658,11681,11738,10468,8565,5486,3150,1394,597
150157,Bom Jesus do Tocantins,16981,2772,3073,2983,2740,2181,1622,935,480,195
150160,Bonito,16286,3106,3146,2955,2838,1952,1136,697,310,146
150170,Bragança,127686,23066,24346,23110,20926,15035,9991,6353,3322,1537
150172,Brasil Novo,15086,2463,2544,2547,2263,1970,1603,959,523,214
150175,Brejo Grande do Araguaia,7380,1291,1339,1295,1085,881,671,478,234,106
150178,Breu Branco,66046,13423,13474,12748,10127,6936,4451,2927,1444,516
150180,Breves,102701,23536,22406,18848,13939,9991,6438,4370,2153,1020
150190,Bujaru,29132,5829,5937,5433,4277,3284,2086,1253,723,310
150200,Cachoeira do Arari,23767,4276,4266,4398,3909,2734,2039,1171,628,346
150195,Cachoeira do Piriá,33900,7808,7616,6395,5159,3381,2051,952,410,128
150210,Cametá,137890,27577,27260,26287,21577,14569,9198,6304,3471,1647
150215,Canaã dos Carajás,37085,7186,7480,7420,6673,4398,2247,1060,473,148
150220,Capanema,69027,10089,11848,12030,11610,9188,6622,4333,2188,1119
150230,Capitão Poço,54303,9299,9946,10244,8648,6598,4628,2762,1488,690
150240,Castanhal,200793,30421,37045,37255,34729,26158,17305,10576,5121,2183
150250,Chaves,23717,5515,5088,4175,3235,2417,1591,975,504,217
150260,Colares,12085,2201,2119,1988,1784,1367,1139,764,487,236
150270,Conceição do Araguaia,47864,7343,8162,8130,7072,6343,4849,3283,1883,799
150275,Concórdia do Pará,33318,6703,6878,6489,5169,3437,2202,1334,771,335
150276,Cumaru do Norte,13473,2328,2490,2422,2242,1906,1282,579,190,34
150277,Curionópolis,17929,3027,3179,3225,2490,1965,1690,1335,716,302
150280,Curralinho,34448,8762,7874,6322,4718,3067,1777,1060,592,276
150285,Curuá,14393,3264,2975,2638,2133,1440,964,577,280,122
150290,Curuçá,40066,6843,7117,6855,6158,4852,3696,2404,1415,726
150293,Dom Eliseu,59719,10413,11962,11379,10189,7059,4656,2527,1140,394
150295,Eldorado do Carajás,33808,6425,6516,6078,5009,3885,2980,1725,921,269
150300,Faro,7194,1540,1481,1265,903,741,571,401,198,94
150304,Floresta do Araguaia,20304,3581,3656,3821,3152,2664,1711,1006,523,190
150307,Garrafão do Norte,26066,5013,5075,5065,3891,2835,1952,1204,748,283
150309,Goianésia do Pará,40475,7337,7699,7915,6878,4921,2947,1772,752,254
150310,Gurupá,33376,7721,7495,6247,4599,3145,2006,1190,696,277
150320,Igarapé-Açu,38807,6025,6786,7147,6383,4709,3550,2344,1271,592
150330,Igarapé-Miri,62698,12232,12143,11419,9893,7025,4494,3083,1615,794
150340,Inhangapi,11711,1979,2119,2137,1923,1387,1049,633,337,147
150345,Ipixuna do Pará,64053,12044,13517,13496,11223,7097,3690,1862,885,239
150350,Irituia,32550,6105,6000,5576,4844,3784,2684,1884,1155,518
150360,Itaituba,101247,16360,19109,19685,15802,11825,9150,5693,2639,984
150370,Itupiranga,53269,10550,10472,9685,7986,6053,4174,2584,1312,453
150375,Jacareacanga,8239,1624,1932,1440,1181,901,703,291,131,36
150380,Jacundá,59155,10097,11629,11329,10433,7044,4348,2480,1262,533
150390,Juruti,57943,13575,11801,11017,9126,5632,3212,2049,1036,495
150400,Limoeiro do Ajuru,28935,6051,6107,5712,4223,2977,1870,1133,582,280
150405,Mãe do Rio,30077,5314,5764,5298,4732,3647,2427,1604,884,407
150410,Magalhães Barata,8548,1538,1542,1455,1298,926,768,545,320,156
150420,Marabá,279349,49619,55673,52764,48306,32877,20917,11945,5170,2078
150430,Maracanã,29473,5144,5151,5391,4175,3400,2703,1865,1111,533
150440,Marapanim,28336,4549,4650,5110,4194,3549,2695,1889,1127,573
150442,Marituba,131521,19915,24324,25618,23824,18548,10433,5575,2393,891
150445,Medicilândia,31597,5301,5981,5821,5315,4001,2669,1557,710,242
150450,Melgaço,27654,7248,6557,5562,3664,2300,1257,645,290,131
150460,Mocajuba,31136,6137,6384,5758,4700,3274,2138,1430,873,442
150470,Moju,82094,17109,16938,15587,12640,8942,5433,3185,1615,645
150475,Mojuí dos Campos,16084,2546,2635,2789,2459,2148,1656,1011,588,252
150480,Monte Alegre,58032,9925,10226,10544,8429,7206,5220,3617,1951,914
150490,Muaná,40349,8160,8468,7615,6369,4368,2708,1536,770,355
150495,Nova Esperança do Piriá,21368,4592,4449,4155,3133,2317,1412,749,440,121
150497,Nova Ipixuna,16678,3044,3116,2922,2612,2010,1380,945,491,158
150500,Nova Timboteua,15363,2229,2532,2481,2542,2102,1532,1056,600,289
150503,Novo Progresso,25762,4819,5794,4894,3308,2807,2383,1244,422,91
150506,Novo Repartimento,75919,15149,14807,14260,12116,8636,5533,3303,1610,505
150510,Óbidos,52137,10531,9968,8618,7519,6095,4221,2880,1599,706
150520,Oeiras do Pará,32512,8034,7210,5824,4469,3076,1804,1154,664,277
150530,Oriximiná,73096,15126,14995,13141,10588,7833,5301,3517,1816,779
150540,Ourém,17842,3084,3173,3223,2756,2166,1594,996,578,272
150543,Ourilândia do Norte,32832,5906,6868,6973,5975,3693,1887,925,447,158
150548,Pacajá,47706,9190,9059,8879,7712,5556,3717,2191,1047,355
150549,Palestina do Pará,7589,1369,1374,1303,1123,919,668,473,252,108
150550,Paragominas,113145,20796,23497,21929,18870,13074,7865,4524,1935,655
150553,Parauapebas,208273,36992,43567,44176,39095,23116,12415,5920,2221,771
150555,Pau D'Arco,5483,889,954,983,820,713,529,348,178,69
150560,Peixe-Boi,8077,1207,1346,1347,1298,1022,815,558,310,174
150563,Piçarra,12981,2316,2366,2322,1934,1698,1156,709,363,117
150565,Placas,30982,6140,6237,5893,5202,3574,2142,1155,501,138
150570,Ponta de Pedras,31082,5908,6243,5698,4869,3465,2451,1436,665,347
150580,Portel,62043,16776,14491,11213,7962,5323,2950,1927,988,413
150590,Porto de Moz,41135,10532,9828,7859,5441,3516,2025,1088,603,243
150600,Prainha,29866,6279,6092,5602,4079,3296,2247,1350,646,275
150610,Primavera,10825,1606,1805,1931,1659,1329,1079,713,472,231
150611,Quatipuru,13608,2221,2448,2471,2200,1672,1215,751,419,211
150613,Redenção,84787,13086,15648,15719,13685,10995,7787,4700,2256,911
150616,Rio Maria,18193,2633,3075,3168,3048,2475,1858,1152,573,211
